user,timestamp,text
2024-05-17_10-11-09,./templates/recordings/ehle_dutchmil/2024-05-17_10-11-09.mp3, Is XK-XP?
2024-05-17_10-11-10,./templates/recordings/ehle_dutchmil/2024-05-17_10-11-10.mp3, You
2024-05-17_10-11-37,./templates/recordings/ehle_dutchmil/2024-05-17_10-11-37.mp3," Sir,"
2024-05-17_10-11-43,./templates/recordings/ehle_dutchmil/2024-05-17_10-11-43.mp3," Hello, sorry, the top on-less approach, you might decent to fly the whole, or my position level."
2024-05-17_10-11-55,./templates/recordings/ehle_dutchmil/2024-05-17_10-11-55.mp3, Census
2024-05-17_10-11-56,./templates/recordings/ehle_dutchmil/2024-05-17_10-11-56.mp3, Go for it.
2024-05-17_10-11-58,./templates/recordings/ehle_dutchmil/2024-05-17_10-11-58.mp3," IJ, wind 125 CJ, over my..."
2024-05-17_10-12-13,./templates/recordings/ehle_dutchmil/2024-05-17_10-12-13.mp3," if one to zero is suitable for you, then now one to zero is supposed."
2024-05-17_10-12-25,./templates/recordings/ehle_dutchmil/2024-05-17_10-12-25.mp3," On the Zm, we have a position on 9 now, and we have a position on 9 now, and we have a position on 9 now, and we have a position on 9 now, and we have a position on 9 now, and we have a position on 9 now, and we have a position on 9 now, and we have a position on 9 now, and we have a position on 9 now, and we have a position on 9 now, and we have a position on 9 now, and we have a position on 9 now, and we have a position on 9 now, and we have a position on 9 now, and we have a position on 9 now, and we have a position on 9 now, and we have a position on 9 now, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and we have a position on 9, and"
2024-05-17_10-12-28,./templates/recordings/ehle_dutchmil/2024-05-17_10-12-28.mp3, 3ME
2024-05-17_10-13-24,./templates/recordings/ehle_dutchmil/2024-05-17_10-13-24.mp3, Hold that.
2024-05-17_10-13-25,./templates/recordings/ehle_dutchmil/2024-05-17_10-13-25.mp3, We have...
2024-05-17_10-13-26,./templates/recordings/ehle_dutchmil/2024-05-17_10-13-26.mp3, Thanks for watching!
2024-05-17_10-13-29,./templates/recordings/ehle_dutchmil/2024-05-17_10-13-29.mp3," Moment, it's 8 O heading 0, 9 0"
2024-05-17_10-13-50,./templates/recordings/ehle_dutchmil/2024-05-17_10-13-50.mp3," I called heading 100, C at 9,"
2024-05-17_10-14-00,./templates/recordings/ehle_dutchmil/2024-05-17_10-14-00.mp3,.
2024-05-17_10-14-02,./templates/recordings/ehle_dutchmil/2024-05-17_10-14-02.mp3," saying, oh, hello, why don't you fight?"
2024-05-17_10-14-13,./templates/recordings/ehle_dutchmil/2024-05-17_10-14-13.mp3," 40 F, T, B, in B, setting, due to the weather, keep your voice."
2024-05-17_10-14-17,./templates/recordings/ehle_dutchmil/2024-05-17_10-14-17.mp3, Those two the full footbite
2024-05-17_10-15-03,./templates/recordings/ehle_dutchmil/2024-05-17_10-15-03.mp3, 4
2024-05-17_10-15-04,./templates/recordings/ehle_dutchmil/2024-05-17_10-15-04.mp3, Thanks a lot.
2024-05-17_10-15-05,./templates/recordings/ehle_dutchmil/2024-05-17_10-15-05.mp3, for the what each
2024-05-17_10-15-55,./templates/recordings/ehle_dutchmil/2024-05-17_10-15-55.mp3," to E, as C, now you will be number 4, so expect C, 5, I, H, and D."
2024-05-17_10-16-16,./templates/recordings/ehle_dutchmil/2024-05-17_10-16-16.mp3, 0
2024-05-17_10-16-18,./templates/recordings/ehle_dutchmil/2024-05-17_10-16-18.mp3," 985, number 1, 6 B."
2024-05-17_10-16-34,./templates/recordings/ehle_dutchmil/2024-05-17_10-16-34.mp3, What's QNH1009?
2024-05-17_10-16-41,./templates/recordings/ehle_dutchmil/2024-05-17_10-16-41.mp3, Go for it.
2024-05-17_10-16-42,./templates/recordings/ehle_dutchmil/2024-05-17_10-16-42.mp3, Shoe
2024-05-17_10-16-48,./templates/recordings/ehle_dutchmil/2024-05-17_10-16-48.mp3, by 916
2024-05-17_10-16-54,./templates/recordings/ehle_dutchmil/2024-05-17_10-16-54.mp3, Bye.
2024-05-17_10-16-55,./templates/recordings/ehle_dutchmil/2024-05-17_10-16-55.mp3, Bye bye.
2024-05-17_10-16-56,./templates/recordings/ehle_dutchmil/2024-05-17_10-16-56.mp3," Departure, reservation 76, 6, 8 on"
2024-05-17_10-17-01,./templates/recordings/ehle_dutchmil/2024-05-17_10-17-01.mp3, 999-8 is only.
2024-05-17_10-17-43,./templates/recordings/ehle_dutchmil/2024-05-17_10-17-43.mp3," 4SP, Finglai, which way do you see Finglai's land?"
2024-05-17_10-17-47,./templates/recordings/ehle_dutchmil/2024-05-17_10-17-47.mp3, Yeah.
2024-05-17_10-17-53,./templates/recordings/ehle_dutchmil/2024-05-17_10-17-53.mp3," It was in much appreciated, it can make some room for your otherwise just use an aspect modulus."
